,Location,Inhabitants,Latitude,Longitude,Postalcodes
206,Purgstall an der Erlauf,5257.0,48.05,15.1333333,3251
207,Melk,5249.0,48.1666667,15.2666667,3390
208,Thalgau,5248.0,47.8333333,13.25,5303
209,Alkoven,5244.0,48.2833333,14.1,4072
210,Kirchberg in Tirol,5223.0,47.45,12.3166667,6365
211,Feldkirchen bei Graz,5212.0,47.012536,15.442272,"8073,8401"
212,Kirchbichl,5193.0,47.5166667,12.0833333,6322
213,Wagna,5188.0,46.766238050,15.557072908,"8430,8435"
214,Feldkirchen an der Donau,5181.0,48.35,14.05,"4101,4113"
215,Kalsdorf bei Graz,5178.0,46.962507641,15.478729173,8401
216,Krieglach,5149.0,47.545450790,15.560031509,"8670,8671"
217,Bärnbach,5117.0,47.070130358,15.125586006,"8570,8572,8582"
218,Lenzing,5115.0,47.9750,13.6110,"4850,4860,4861"
219,Elsbethen,5114.0,47.7605556,13.0808333,"5026,5061,5412"
220,Stadl-Paura,5092.0,48.080278,13.86275,4651
221,Schärding,5087.0,48.4333333,13.6,4780
222,Wernberg,5036.0,46.6166667,13.9500,"9220,9241"
223,Mittelberg,5033.0,47.3333333,10.1666667,"6991,6992,6993"
224,Ebbs,5023.0,47.6300,12.2150,"6330,6341"
225,Frankenburg am Hausruck,4992.0,48.0666667,13.4833333,"4871,4873"
226,Spielberg bei Knittelfeld,4975.0,47.211278026,14.784538617,"8724,8740"
227,Seewalchen am Attersee,4956.0,47.9530,13.5855,"4851,4863,4880"
228,Matrei in Osttirol,4947.0,47.0,12.5400,9971
229,Mauthausen,4925.0,48.2450,14.5166667,"4310,4312"
230,Bad Aussee,4923.0,47.610096043,13.784741629,8990
231,Sankt Peter in der Au,4921.0,48.03,14.6000,"3350,3352,4442,4443"
232,Andorf,4908.0,48.3833333,13.5833333,"4770,4772"
233,Pettenbach,4846.0,47.95,14.0166667,"4643,4644"
234,Altheim,4827.0,48.249778,13.232944,4950
235,Bergheim,4817.0,47.8333333,13.0333333,5101
236,Radstadt,4797.0,47.3833333,13.45,"5550,8974"
237,Henndorf am Wallersee,4796.0,47.9,13.1833333,5302
238,Grieskirchen,4776.0,48.2666667,13.8,"4710,4713"
239,Pregarten,4775.0,48.3551,14.5307,"4230,4292"
240,Böheimkirchen,4749.0,48.1975,15.7625,"3071,3072,3140"
241,Steyregg,4742.0,48.2833333,14.3666667,"4040,4221"
242,Groß-Gerungs,4737.0,48.5726,14.9532,"3920,3921,3924"
243,Vöcklamarkt,4737.0,48.0,13.4833333,"4870,4871,4890"
244,Bad Sankt Leonhard im Lavanttal,4728.0,46.9627778,14.7889,"9441,9461,9462,9463"
245,Feldbach,4728.0,46.955150583,15.888504248,8330
246,Bad Hall,4727.0,48.0333333,14.2,"4522,4540"
247,Althofen,4675.0,46.875167,14.473914,"9322,9330"
248,Scharnstein,4665.0,47.9,13.95,"4644,4645,4817"
249,Ohlsdorf,4649.0,47.95,13.7833333,"4662,4693,4694,4812"
250,Ober-Grafendorf,4646.0,48.1510,15.5440,3200
251,Gramastetten,4617.0,48.3800,14.1910,"4040,4100,4111,4112,4201"
252,Nüziders,4603.0,47.1666667,9.8,6714
253,Bürmoos,4576.0,47.9833333,12.9333333,5111
254,Sollenau,4574.0,47.8833333,16.25,"2601,2602"
255,Puchenau,4534.0,48.3166667,14.2333333,4040
256,Leobendorf,4526.0,48.3833333,16.3166667,"2100,2105,2111"
257,Kramsach,4522.0,47.4430,11.8770,6233
258,Moosburg,4504.0,46.6575,14.173481,"9061,9062,9201,9210,9560"
259,Neustift im Stubaital,4504.0,47.1166667,11.3166667,6167
260,Schladming,4492.0,47.393617323,13.683858530,8970
261,Sankt Jakob im Rosental,4458.0,46.5467,14.0578,"9182,9183,9184"
262,Vomp,4425.0,47.3333333,11.6833333,"6134,6215"
263,Fischamend,4416.0,48.1167,16.6,2401
264,Bruck an der Großglocknerstraße,4403.0,47.2833333,12.8166667,"5662,5671"
265,Scheibbs,4396.0,47.9,15.15,"3270,3283"
266,Ottensheim,4395.0,48.3333333,14.1833333,4100
267,Heidenreichstein,4370.0,48.8666667,15.1166667,"3834,3860,3873"
268,Treffen am Ossiacher See,4360.0,46.668333,13.855556,"9520,9521,9541,9542,9551"
269,Lengau,4358.0,48.005,13.217778,"5211,5212"
270,Leobersdorf,4357.0,47.9280,16.2166667,2544
271,Hart bei Graz,4347.0,47.0450,15.5190,"8047,8075,8301"
272,Sankt Kanzian am Klopeiner See,4346.0,46.6166667,14.5666667,"9121,9122,9123,9125,9141"
273,Sankt Marien,4339.0,48.15,14.2833333,"4491,4502,4521"
274,Gablitz,4327.0,48.2166667,16.15,3003
275,Volders,4310.0,47.2833333,11.5666667,6111
276,Fieberbrunn,4300.0,47.4833333,12.55,6391
277,Obertrum am See,4300.0,47.9372222,13.0772222,5162
278,Lieboch,4297.0,46.981104803,15.324361294,8501
279,Felixdorf,4252.0,47.8833333,16.2333333,2603
280,Längenfeld,4238.0,47.0666667,10.9666667,6444
281,Jennersdorf,4235.0,46.937225,16.141665,"8282,8380"
282,Neudörfl,4209.0,47.7945,16.3,7201
283,Eggendorf,4201.0,47.85,16.3166667,"2492,2493,2601,2604"
284,Altenberg bei Linz,4201.0,48.373028,14.350722,"4040,4202,4203,4210,4211"
285,Schwanenstadt,4197.0,48.05,13.7666667,4690
286,Kössen,4185.0,47.67,12.4050,"6344,6345"
287,Hartkirchen,4178.0,48.3666667,14.0,"4070,4074,4081"
288,Puch bei Hallein,4163.0,47.7166667,13.0900,"5411,5412"
289,Retz,4142.0,48.7590,15.9540,"2070,2074,2081"
290,Wildschönau,4136.0,47.4392,12.0420,"6311,6313,6314"
291,Langenwang,4122.0,47.568313849,15.621882429,"8665,8670,8680,8682"
292,Sankt Georgen im Attergau,4119.0,47.9333333,13.4900,4880
293,Kirchdorf an der Krems,4114.0,47.9,14.1166667,"4560,4563"
294,Anif,4105.0,47.75,13.0666667,5081
295,Sonntagberg,4093.0,47.9960,14.7620,"3331,3332,3333,3340"
296,Bisamberg,4077.0,48.3290,16.3620,"2100,2102"
297,Enzesfeld-Lindabrunn,4055.0,47.9130,16.1800,"2544,2551,2552"
298,Hinterbrühl,4044.0,48.0833333,16.2333333,"2371,2393"
299,Vasoldsberg,4030.0,47.013353,15.563517,"8071,8081,8301,8302"
300,Wöllersdorf-Steinabrückl,4022.0,47.8667,16.1833,"2751,2752"
301,Fulpmes,4016.0,47.1666667,11.35,"6166,6167"
302,Bad Leonfelden,4006.0,48.5333333,14.3,4190
303,Leopoldsdorf,4004.0,48.1090,16.3930,2333
304,Bleiburg,3997.0,46.59,14.7988889,9150
305,Golling an der Salzach,3990.0,47.6,13.1666667,5440
306,Haiming,3954.0,47.25,10.8833333,"6425,6430,6433"
307,Deutschfeistritz,3937.0,47.199231871,15.335435038,"8103,8114,8121,8122"
308,Oberalm,3936.0,47.7,13.1,"5400,5411"
309,Koblach,3935.0,47.3330556,9.6,6842
310,Sankt Veit an der Gölsen,3928.0,48.0430,15.6700,"3150,3160,3161,3162,3163"
311,Mils,3927.0,47.2833333,11.5333333,"6060,6068"
312,Grünburg,3924.0,47.9616,14.2550,"4591,4592,4593,4594"
313,Kundl,3917.0,47.4666667,11.9833333,6250
314,Eichgraben,3907.0,48.1666667,15.9833333,3032
315,Bramberg am Wildkogel,3897.0,47.2666667,12.35,"5731,5732,5733,5741"
316,Wartberg ob der Aist,3892.0,48.35,14.5,"4210,4223,4224,4231"
317,Mayrhofen,3883.0,47.1666667,11.8666667,"6290,6295"
318,Maria Saal,3865.0,46.6812,14.346094,"9020,9061,9063,9064"
319,Ried in der Riedmark,3864.0,48.2680,14.5280,"4311,4312"
320,Sinabelkirchen,3862.0,47.104696581,15.827022128,"8200,8211,8261,8262,8311"
321,Walding,3843.0,48.3520,14.1610,"4100,4111,4112"
322,Sankt Stefan im Rosental,3838.0,46.903962285,15.711370738,"8082,8083,8091,8324,8341"
323,Güssing,3836.0,47.059445,16.323889,"7540,7542"
324,Sankt Margarethen an der Raab,3807.0,47.045779536,15.743071800,"8311,8321,8322,8323"
325,Hainfeld,3798.0,48.0333333,15.7700,"2572,3162,3163,3170"
326,Ottnang am Hausruck,3796.0,48.1210,13.6666667,"4901,4905"
327,Gföhl,3774.0,48.5166667,15.4833333,"3521,3542,3553"
328,Schruns,3768.0,47.0666667,9.9166667,6780
329,Hallwang,3766.0,47.8510,13.0833333,5300
330,Großarl,3766.0,47.2333333,13.2,5611
331,Götzens,3761.0,47.2333333,11.3166667,6091
332,Trieben,3749.0,47.486661628,14.485680121,8784
333,Mannersdorf am Leithagebirge,3747.0,47.9740,16.6030,"2434,2452"
334,Molln,3735.0,47.8833333,14.25,"4564,4591"
335,Sankt Gilgen,3735.0,47.7666667,13.3666667,"4854,4866,5310,5340,5342,5360"
336,Luftenberg an der Donau,3732.0,48.2833333,14.4166667,"4222,4481"
337,Ybbsitz,3718.0,47.9480,14.8950,3341
338,Traisen,3696.0,48.0390,15.6120,3160
339,Piesendorf,3693.0,47.2833333,12.7166667,5721
340,Buchkirchen,3691.0,48.2333333,14.0166667,"4611,4612,4613,4631"
341,Pöchlarn,3689.0,48.210433,15.21,"3253,3380"
342,Zwentendorf an der Donau,3684.0,48.3425,15.913889,"3435,3454"
343,Alberndorf in der Riedmark,3662.0,48.4,14.4166667,"4210,4211"
344,Griffen,3643.0,46.7044444,14.7327778,"9103,9104,9111,9112,9113"
345,Gaweinstal,3641.0,48.4780,16.5873,"2191,2223"
346,Pucking,3639.0,48.1833333,14.1833333,4055
347,Waizenkirchen,3634.0,48.3333333,13.8666667,"4712,4730,4731"
348,Sankt Michael im Lungau,3630.0,47.1,13.6333333,5582
349,Altenmarkt im Pongau,3628.0,47.3833333,13.4166667,5541
350,Schalchen,3625.0,48.1166667,13.1666667,"5222,5231,5261"
351,Thaur,3624.0,47.3,11.4666667,"6060,6063,6065"
352,Aschbach-Markt,3620.0,48.0728,14.7557,"3354,3361"
353,Sankt Georgen am Längsee,3618.0,46.78,14.431944,"9300,9313,9314,9321"
354,Sankt Georgen an der Gusen,3618.0,48.2666667,14.45,4222
355,Gratwein,3611.0,47.129207919,15.317876242,8112
356,Fußach,3610.0,47.4830556,9.6666667,"6972,6973"
357,Loosdorf,3608.0,48.2,15.4,3382
358,Sankt Paul im Lavanttal,3607.0,46.7005556,14.8730,"9112,9433,9470,9472,9473"
359,Gars am Kamp,3602.0,48.5833333,15.65,"3571,3573"
360,Harmannsdorf,3601.0,48.3833333,16.3666667,"2111,2112"
361,Parndorf,3597.0,47.994444,16.858333,"2471,7111"
362,Steindorf am Ossiacher See,3594.0,46.6983333,14.006111,"9551,9552,9560"
363,Gaming,3592.0,47.9290,15.0900,"3223,3264,3291,3292,3293,3294,3295,8924"
364,Lanzenkirchen,3592.0,47.7333333,16.2333333,"2700,2821,2822,7212"
365,Gols,3591.0,47.897778,16.908889,7122
366,Kirchdorf in Tirol,3591.0,47.5666667,12.45,"6382,6383"
367,Großpetersdorf,3587.0,47.238611,16.318611,7503
368,Eggenburg,3583.0,48.6430,15.8145,3730
369,Söll,3578.0,47.5,12.1833,"6306,6330,6351"
370,Fügen,3578.0,47.3460,11.85,"6263,6271"
371,Gaspoltshofen,3571.0,48.1333333,13.7666667,"4673,4674,4676,4682,4692,4714,4902"
372,Kötschach-Mauthen,3566.0,46.6751,13.0071,"9635,9640,9651,9652"
373,Sankt Martin im Mühlkreis,3565.0,48.4166667,14.0380,"4113,4114"
374,Pinsdorf,3561.0,47.9166667,13.7666667,"4810,4812,4845"
375,Hitzendorf,3560.0,47.035083761,15.301173774,"8052,8113,8151,8152,8561"
376,Strobl,3557.0,47.7190,13.4833333,"5342,5350,5351"
377,Wieselburg,3552.0,48.1300,15.1400,3250
378,Langkampfen,3551.0,47.5333333,12.1,6336
379,Oberwaltersdorf,3547.0,47.9780,16.3190,2522
380,Schwarzach im Pongau,3534.0,47.3166667,13.15,5620
381,Frankenmarkt,3533.0,47.9833333,13.4166667,"4890,4891"
382,Frauenstein,3522.0,46.789667,14.334808,"9300,9311,9312,9556"
383,Eferding,3521.0,48.3,13.9666667,4070
384,Ampflwang im Hausruckwald,3504.0,48.0833333,13.5666667,4843
385,Mauerbach,3502.0,48.2333333,16.15,3001
386,Ebergassing,3499.0,48.0333333,16.5166667,2435
387,Sölden,3488.0,46.9666667,11.0,"6450,6456,6458"
388,Haidershofen,3483.0,48.0767,14.4597,"3350,3351,4431,4432,4441"
389,Westendorf,3467.0,47.4333333,12.2166667,6363
390,Schwarzach,3466.0,47.45,9.75,6858
391,Adnet,3423.0,47.6833333,13.1333333,"5323,5400,5421"
392,Hof bei Salzburg,3422.0,47.8166667,13.2166667,5322
393,Naarn im Machlande,3400.0,48.2166667,14.6,"4311,4320,4331,4332"
394,Sankt Veit im Pongau,3394.0,47.3290,13.1520,"5600,5620,5621,5651"
395,Egg,3381.0,47.4319444,9.8955556,6863
396,Millstatt,3377.0,46.8041667,13.5706,9872
397,Lavamünd,3370.0,46.643,14.9405,"9423,9472,9473"
398,Bad Schallerbach,3367.0,48.2333333,13.9166667,4701
399,Zams,3366.0,47.15,10.5833333,6511
400,Kumberg,3358.0,47.160118107,15.534197241,"8044,8061,8062,8063,8160,8181"
401,Kirchberg am Wagram,3355.0,48.4333333,15.8833333,"3465,3470,3474"
402,Lambach,3353.0,48.0833333,13.8833333,4650
403,Pyhra,3352.0,48.1590,15.6870,"3071,3104,3143,3144"
404,Eberschwang,3348.0,48.15,13.5666667,4906
405,Sankt Lorenzen im Mürztal,3344.0,47.483062349,15.371371222,"8605,8625,8641,8642,8644,8652"
406,Sierndorf,3338.0,48.4166667,16.15,"2000,2011"
407,Unterpremstätten,3326.0,46.966336361,15.403241433,"8054,8141,8143,8144,8401"
408,Steinach am Brenner,3314.0,47.0833333,11.4666667,6150
